company_name,incrise
Vodafone Idea Ltd,₹11.90
IFCI Ltd,₹25.95
MMTC Ltd,₹70.60
Zomato Ltd,₹109.95
Jaiprakash Power Ventures Limited,₹9.70
Infibeam Avenues Ltd,₹22.00
TV18 Broadcast Ltd,₹48.45
Suzlon Energy Ltd,₹27.30
Network18 Media & Investments Ltd,₹80.10
NMDC Limited,₹158.45
Yes Bank Limited,₹17.10
NBCC (India) Ltd,₹64.00
Gail (India) Ltd,₹129.90
Reliance Power Ltd,₹18.00
Hathway Cable and Datacom Limited,₹21.00
GTL Infrastructure Limited,₹1.05
National Aluminium Company Limited,₹99.70
Mahanagar Telephone Nigam Ltd,₹30.70
Gujarat Mineral Development Corpn Ltd,₹404.10
RattanIndia Power Ltd,₹6.90
Punjab National Bank,₹75.50
Indian Overseas Bank,₹44.35
Dish TV India Ltd,₹18.80
South Indian Bank Ltd,₹26.45
SJVN Ltd,₹70.80
Bank of Maharashtra Ltd,₹46.10
Jaiprakash Associates Limited,₹12.05
Power Grid Corporation of India Ltd,₹201.05
Indian Railway Finance Corp Ltd,₹75.15
Moil Ltd,₹247.00
Tata Steel Ltd,₹125.80
Hindustan Construction Company Ltd,₹27.45
Bharat Heavy Electricals Ltd,₹130.35
Sepc Ltd,₹16.45
NCC Ltd,₹164.40
UCO Bank,₹41.60
Easy Trip Planners Ltd,₹41.05
Brightcom Group Ltd,₹17.75
Delta Corp Ltd,₹141.20
Vakrangee Limited,₹17.25
Coal India Ltd,₹306.50
IDBI Bank Ltd,₹71.55
Bajaj Hindusthan Sugar Ltd,₹25.35
Central Bank of India Ltd,₹48.50
Bank of Baroda Ltd,₹207.75
PCBL Ltd,₹204.05
Union Bank of India Ltd,₹103.70
IDFC First Bank Ltd,₹90.90
NTPC Ltd,₹240.90
NHPC Limited,₹52.60
